plate,rodent_uid,blood_sample,blood_sample_id,450,630,450-630,Result,,
4,6_LAL_013,TRUE,107,0.051,0.015,0.036,0.210526316,,negative
4,6_LAL_014,TRUE,108,0.086,0.056,0.03,0.175438596,,negative
4,6_LAL_015,TRUE,109,0.111,0.091,0.02,0.116959064,,negative
4,1_SEI_001,TRUE,110,0.248,0.169,0.079,0.461988304,,negative
4,1_SEI_002,TRUE,111,0.103,0.075,0.028,0.16374269,,negative
4,1_SEI_003,TRUE,112,0.124,0.091,0.033,0.192982456,,negative
4,1_SEI_004,TRUE,113,0.244,0.076,0.168,0.98245614,,equivocal
4,1_SEI_005,TRUE,114,0.2,0.181,0.019,0.111111111,,negative
4,1_SEI_006,TRUE,115,0.06,0.011,0.049,0.286549708,,negative
4,1_SEI_007,TRUE,116,0.102,0.051,0.051,0.298245614,,negative
4,1_SEI_028,TRUE,368,0.138,0.089,0.049,0.286549708,,negative
4,1_SEI_029,TRUE,369,0.133,0.093,0.04,0.233918129,,negative
4,1_SEI_030,TRUE,370,0.097,0.057,0.04,0.233918129,,negative
4,1_SEI_031,TRUE,371,0.129,0.078,0.051,0.298245614,,negative
4,1_SEI_032,TRUE,372,0.18,0.074,0.106,0.619883041,,negative
4,1_SEI_033,TRUE,373,0.189,0.155,0.034,0.198830409,,negative
4,1_SEI_034,TRUE,374,0.073,0.021,0.052,0.304093567,,negative
4,1_SEI_035,TRUE,375,0.145,0.045,0.1,0.584795322,,negative
4,1_SEI_036,TRUE,376,0.138,0.107,0.031,0.18128655,,negative
4,1_SEI_037,TRUE,377,0.196,0.096,0.1,0.584795322,,negative
4,1_SEI_038,TRUE,378,0.108,0.049,0.059,0.34502924,,negative
4,1_SEI_039,TRUE,379,0.11,0.08,0.03,0.175438596,,negative
4,1_SEI_040,TRUE,380,0.113,0.081,0.032,0.187134503,,negative
4,1_SEI_041,TRUE,381,0.187,0.161,0.026,0.152046784,,negative
4,1_SEI_042,TRUE,382,0.079,0.035,0.044,0.257309942,,negative
4,1_SEI_043,TRUE,383,0.079,0.047,0.032,0.187134503,,negative
4,2_SEI_001,TRUE,117,0.121,0.091,0.03,0.175438596,,negative
4,2_SEI_002,TRUE,118,0.108,0.077,0.031,0.18128655,,negative
4,2_SEI_003,TRUE,119,0.073,0.036,0.037,0.216374269,,negative
4,2_SEI_004,TRUE,120,0.344,0.071,0.273,1.596491228,,positive
4,2_SEI_005,TRUE,121,0.103,0.059,0.044,0.257309942,,negative
4,2_SEI_006,TRUE,122,0.163,0.134,0.029,0.169590643,,negative
4,2_SEI_007,TRUE,123,0.051,0.014,0.037,0.216374269,,negative
4,2_SEI_008,TRUE,124,0.077,0.036,0.041,0.239766082,,negative
4,2_SEI_009,TRUE,125,0.153,0.07,0.083,0.485380117,,negative
4,2_SEI_010,TRUE,126,0.141,0.08,0.061,0.356725146,,negative
4,2_SEI_011,TRUE,127,0.091,0.041,0.05,0.292397661,,negative
4,2_SEI_012,TRUE,128,0.125,0.09,0.035,0.204678363,,negative
4,2_SEI_013,TRUE,129,0.19,0.057,0.133,0.777777778,,negative
4,2_SEI_014,TRUE,130,0.188,0.143,0.045,0.263157895,,negative
4,2_SEI_015,TRUE,131,0.041,0.006,0.035,0.204678363,,negative
